"File","LinkText","LinkTarget"
"docs\blog-posts\downstreamwebapi-to-downstreamapi.md","ASP.NET Core web app calling web API/TodoListController","[https://github.com/AzureAD/microsoft-identity-web/pull/2036/files](https://github.com/Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2/blob/jmprieur/relv2/4-WebApp-your-API/4-1-MyOrg/Client/Controllers/TodoListController.cs"
"docs\calling-downstream-apis\azure-sdks.md","Agent Identities documentation","../scenarios/agent-identities/README.md"
"docs\calling-downstream-apis\azure-sdks.md","Credentials Configuration","../authentication/credentials/README.md"
"docs\calling-downstream-apis\azure-sdks.md","Agent Identities","../scenarios/agent-identities/README.md"
"docs\calling-downstream-apis\azure-sdks.md","Calling Downstream APIs Overview","README.md"
"docs\calling-downstream-apis\azure-sdks.md","calling custom APIs","custom-apis.md"
"docs\calling-downstream-apis\custom-apis.md","IDownstreamApi Reference","../api-reference/idownstreamapi.md"
"docs\calling-downstream-apis\custom-apis.md","Calling from Web Apps","from-web-apps.md"
"docs\calling-downstream-apis\custom-apis.md","Calling from Web APIs","from-web-apis.md"
"docs\calling-downstream-apis\custom-apis.md","Microsoft Graph Integration","microsoft-graph.md"
"docs\calling-downstream-apis\custom-apis.md","Agent Identities","../scenarios/agent-identities/README.md"
"docs\calling-downstream-apis\custom-apis.md","main documentation","README.md"
"docs\calling-downstream-apis\from-web-apis.md","Logging & Diagnostics Guide","../advanced/logging.md"
"docs\calling-downstream-apis\from-web-apis.md","Long-Running Processes","../advanced/long-running-processes.md"
"docs\calling-downstream-apis\from-web-apis.md","Token Caching","../authentication/token-cache/README.md"
"docs\calling-downstream-apis\from-web-apis.md","Calling from Web Apps","from-web-apps.md"
"docs\calling-downstream-apis\from-web-apis.md","Web API Scenarios","../scenarios/web-apis/README.md"
"docs\calling-downstream-apis\from-web-apis.md","API Behind Gateways","../advanced/api-gateways.md"
"docs\calling-downstream-apis\from-web-apis.md","Logging & Diagnostics","../advanced/logging.md"
"docs\calling-downstream-apis\from-web-apis.md","Authorization Guide","../authentication/authorization.md"
"docs\calling-downstream-apis\from-web-apis.md","Customization Guide","../advanced/customization.md"
"docs\calling-downstream-apis\from-web-apis.md","calling Microsoft Graph","microsoft-graph.md"
"docs\calling-downstream-apis\from-web-apis.md","custom APIs","custom-apis.md"
"docs\calling-downstream-apis\from-web-apps.md","📖 Learn more about Microsoft Graph integration","microsoft-graph.md"
"docs\calling-downstream-apis\from-web-apps.md","📖 Learn more about Azure SDK integration","azure-sdks.md"
"docs\calling-downstream-apis\from-web-apps.md","📖 Learn more about custom API calls","custom-apis.md"
"docs\calling-downstream-apis\from-web-apps.md","📖 Learn more about custom HTTP logic","custom-apis.md#using-iauthorizationheaderprovider"
"docs\calling-downstream-apis\from-web-apps.md","OWIN documentation","../../scenarios/web-apps/owin.md"
"docs\calling-downstream-apis\from-web-apps.md","Logging & Diagnostics Guide","../advanced/logging.md"
"docs\calling-downstream-apis\from-web-apps.md","Back to Downstream APIs Overview","./README.md"
"docs\calling-downstream-apis\from-web-apps.md","Token Cache Configuration","../authentication/token-cache/README.md"
"docs\calling-downstream-apis\from-web-apps.md","Microsoft Graph Integration","./microsoft-graph.md"
"docs\calling-downstream-apis\from-web-apps.md","Azure SDK Integration","./azure-sdks.md"
"docs\calling-downstream-apis\from-web-apps.md","Custom API Calls","./custom-apis.md"
"docs\calling-downstream-apis\from-web-apps.md","Calling from Web APIs (OBO)","./from-web-apis.md"
"docs\calling-downstream-apis\from-web-apps.md","Configure distributed cache","../authentication/token-cache/README.md"
"docs\calling-downstream-apis\from-web-apps.md","troubleshooting guide","../../scenarios/web-apps/troubleshooting.md"
"docs\calling-downstream-apis\microsoft-graph.md","Calling Downstream APIs Overview","README.md"
"docs\calling-downstream-apis\microsoft-graph.md","Calling from Web Apps","from-web-apps.md"
"docs\calling-downstream-apis\microsoft-graph.md","Calling from Web APIs","from-web-apis.md"
"docs\calling-downstream-apis\microsoft-graph.md","calling Azure SDKs","azure-sdks.md"
"docs\calling-downstream-apis\microsoft-graph.md","custom APIs","custom-apis.md"
"docs\calling-downstream-apis\README.md","📖 Learn more about Microsoft Graph integration","microsoft-graph.md"
"docs\calling-downstream-apis\README.md","📖 Learn more about Azure SDK integration","azure-sdks.md"
"docs\calling-downstream-apis\README.md","📖 Learn more about IDownstreamApi","custom-apis.md"
"docs\calling-downstream-apis\README.md","📖 Learn more about MicrosoftIdentityMessageHandler","custom-apis.md#microsoftidentitymessagehandler"
"docs\calling-downstream-apis\README.md","📖 Learn more about IAuthorizationHeaderProvider","custom-apis.md#iauthorizationheaderprovider"
"docs\calling-downstream-apis\README.md","📖 Learn more about credentials configuration","../authentication/credentials/README.md"
"docs\calling-downstream-apis\README.md","📖 Read the Web Apps guide","from-web-apps.md"
"docs\calling-downstream-apis\README.md","📖 Read the Web APIs guide","from-web-apis.md"
"docs\calling-downstream-apis\README.md","📖 Read the Daemon Applications guide","../scenarios/daemon/README.md"
"docs\calling-downstream-apis\README.md","Credentials Configuration","../authentication/credentials/README.md"
"docs\calling-downstream-apis\README.md","Web App Scenarios","../scenarios/web-apps/README.md"
"docs\calling-downstream-apis\README.md","Web API Scenarios","../scenarios/web-apis/README.md"
"docs\calling-downstream-apis\README.md","Agent Identities","../scenarios/agent-identities/README.md"
"docs\calling-downstream-apis\README.md","credentials guide","../authentication/credentials/README.md"
"docs\design\managed_identity_capabilities_devex.md","alt text","capab1.png"
"docs\frameworks\aspnet-framework.md","MSAL.NET with Microsoft.Identity.Web Guide","msal-dotnet-framework.md"
"docs\frameworks\aspnet-framework.md","OWIN Integration Guide","owin.md"
"docs\frameworks\aspnet-framework.md","MSAL.NET with Microsoft.Identity.Web","msal-dotnet-framework.md"
"docs\frameworks\aspnet-framework.md","OWIN Integration","owin.md"
"docs\frameworks\msal-dotnet-framework.md","Overview","#overview"
"docs\frameworks\msal-dotnet-framework.md","Package Options","#package-options"
"docs\frameworks\msal-dotnet-framework.md","Token Cache Serialization","#token-cache-serialization"
"docs\frameworks\msal-dotnet-framework.md","Certificate Management","#certificate-management"
"docs\frameworks\msal-dotnet-framework.md","Sample Applications","#sample-applications"
"docs\frameworks\msal-dotnet-framework.md","Best Practices","#best-practices"
"docs\frameworks\msal-dotnet-framework.md","OWIN Integration","owin.md"
"docs\frameworks\msal-dotnet-framework.md","Daemon Applications Guide","../scenarios/daemon/README.md"
"docs\frameworks\msal-dotnet-framework.md","OWIN Integration","owin.md"
"docs\frameworks\msal-dotnet-framework.md","ASP.NET Framework Overview","aspnet-framework.md"
"docs\frameworks\msal-dotnet-framework.md","Credentials Guide","../authentication/credentials/README.md"
"docs\frameworks\msal-dotnet-framework.md","Logging & Diagnostics","../advanced/logging.md"
"docs\frameworks\owin.md","Overview","#overview"
"docs\frameworks\owin.md","Installation","#installation"
"docs\frameworks\owin.md","Configuration","#configuration"
"docs\frameworks\owin.md","Startup Setup","#startup-setup"
"docs\frameworks\owin.md","Controller Integration","#controller-integration"
"docs\frameworks\owin.md","Calling Microsoft Graph","#calling-microsoft-graph"
"docs\frameworks\owin.md","Calling Downstream APIs","#calling-downstream-apis"
"docs\frameworks\owin.md","Sample Applications","#sample-applications"
"docs\frameworks\owin.md","Best Practices","#best-practices"
"docs\frameworks\owin.md","MSAL.NET with Microsoft.Identity.Web","msal-dotnet-framework.md"
"docs\frameworks\owin.md","ASP.NET Framework Overview","aspnet-framework.md"
"docs\frameworks\owin.md","Authorization Guide","../authentication/authorization.md"
"docs\frameworks\owin.md","Customization Guide","../advanced/customization.md"
"docs\frameworks\owin.md","Logging & Diagnostics","../advanced/logging.md"
"docs\frameworks\owin.md","Token Cache Serialization","../authentication/token-cache/README.md"
"docs\getting-started\quickstart-webapi.md","Authorization Guide","../authentication/authorization.md"
"docs\getting-started\quickstart-webapi.md","Customization Guide","../advanced/customization.md"
"docs\getting-started\quickstart-webapi.md","Logging & Diagnostics","../advanced/logging.md"
"docs\getting-started\quickstart-webapi.md","Call downstream APIs","../calling-downstream-apis/from-web-apis.md"
"docs\getting-started\quickstart-webapi.md","Configure token cache","../authentication/token-cache/README.md"
"docs\getting-started\quickstart-webapi.md","Long-running processes","../scenarios/web-apis/long-running-processes.md"
"docs\getting-started\quickstart-webapi.md","Deploy behind API Gateway","../advanced/api-gateways.md"
"docs\getting-started\quickstart-webapi.md","Logging & Diagnostics","../advanced/logging.md"
"docs\getting-started\quickstart-webapi.md","Authorization Guide","../authentication/authorization.md"
"docs\getting-started\quickstart-webapi.md","Web API Troubleshooting Guide","../scenarios/web-apis/troubleshooting.md"
"docs\getting-started\quickstart-webapi.md","Web API Scenario Documentation","../scenarios/web-apis/README.md"
"docs\getting-started\quickstart-webapp.md","Authorization Guide","../authentication/authorization.md"
"docs\getting-started\quickstart-webapp.md","Customization Guide","../advanced/customization.md"
"docs\getting-started\quickstart-webapp.md","Logging & Diagnostics","../advanced/logging.md"
"docs\getting-started\quickstart-webapp.md","Call downstream APIs","../calling-downstream-apis/from-web-apps.md"
"docs\getting-started\quickstart-webapp.md","Configure token cache","../authentication/token-cache/README.md"
"docs\getting-started\quickstart-webapp.md","Handle incremental consent","../advanced/incremental-consent-ca.md"
"docs\getting-started\quickstart-webapp.md","Deploy to Azure","../deployment/azure-app-service.md"
"docs\getting-started\quickstart-webapp.md","Logging & Diagnostics","../advanced/logging.md"
"docs\getting-started\quickstart-webapp.md","Web App Troubleshooting Guide","../scenarios/web-apps/troubleshooting.md"
"docs\getting-started\quickstart-webapp.md","Web Apps Scenario Documentation","../scenarios/web-apps/README.md"
"docs\scenarios\daemon\README.md","Quick Start","#quick-start"
"docs\scenarios\daemon\README.md","Standard Daemon Applications","#standard-daemon-applications"
"docs\scenarios\daemon\README.md","Autonomous Agents (Agent Identity)","#autonomous-agents-agent-identity"
"docs\scenarios\daemon\README.md","Agent User Identity","#agent-user-identity"
"docs\scenarios\daemon\README.md","Service Configuration","#service-configuration"
"docs\scenarios\daemon\README.md","Calling APIs","#calling-apis"
"docs\scenarios\daemon\README.md","Token Caching","#token-caching"
"docs\scenarios\daemon\README.md","Azure Samples","#azure-samples"
"docs\scenarios\daemon\README.md","Troubleshooting","#troubleshooting"
"docs\scenarios\daemon\README.md","Calling downstream APIs","../../calling-downstream-apis/README.md"
"docs\scenarios\daemon\README.md","Token Cache Configuration","../../authentication/token-cache/README.md"
"docs\scenarios\daemon\README.md","Certificate Configuration Guide","../../frameworks/msal-dotnet-framework.md#certificate-loading"
"docs\scenarios\daemon\README.md","Logging & Diagnostics Guide","../../advanced/logging.md"
